srv,Path,uveerajr,opt
defra01as05k8,C:\IPO\RUPLAN\AFS_DRS_FRA\RUPLAN_AFS_DRS_FRA.cmd,DE-SA-IPO_DE_TASK,NO
defra01as05k8,C:\Program Files\IPO\AD\run.bat,DE-SA-IPO_DE_TASK,NO
defra01as05k8,C:\ipo\MetallPrice\getMetallPricing.bat,ADM163049,NO
defra01as05k8,C:\ipo\MetallPrice\getMetallPricing.bat,veerajSA163049,NO
defra01as05k8,C:\ipo\Ruplan\PD45\Kopieren_AFS_DB_PD45_Auto.cmd,DE-SA-IPO_DE_TASK,NO
defra01as05k8,C:\ipo\treesize\Getspace-CH.bat,ADM163049,NO
defra01as05k8,C:\ipo\treesize\Getspace-CH.bat,veerajSA163049,NO
defra01as05k8,C:\ipo\treesize\Getspace.bat,ADM163049,NO
defra01as05k8,C:\ipo\treesize\Getspace.bat,veerajSA163049,NO
defra01ts10,C:\Uveerajrs\veerajSA163049\AppData\Local\Google\Update\GoogleUpdate.exe,veerajSA163049,NO
defra01ts10,C:\Uveerajrs\veerajSA163049\AppData\Local\Google\Update\GoogleUpdate.exe,veerajSA163049,NO
dfrwodm2,E:\Hyperion\Middleware\uveerajr_projects\epmsystemDM2\bin\Automated_LCM_Export.bat,InstallS,NO
dfrwodv1,C:\Exploit\Scripts\Reboot\CheckveerajrverOnReboot.cmd,GG_Win_Backup_Adm,NO
dfrwore1,C:\Exploit\Scripts\Reboot\CheckveerajrverOnReboot.cmd,GG_Win_Backup_Adm,NO
pbewsql13,C:\Perflogs\perf_start.cmd,Everyone,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veeraj-SG-MOM-DAD-REMOTE-ACCESS,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veeraj-SL-MOM-DAD-REMOTE-ACCESS,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA120855,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA139866,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA27544,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA27549,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA3643,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA40981,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA48351,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA60835,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajSA7562,NO
pcewmdo01,E:\DTR.V1\RUN\DTR_Backup_and_Purge_Backup.bat,veerajsa42621,NO
pcewrsoftweb01,C:\PerfLogs\transfert.cmd,Everyone,NO
pdewccv4,F:\Tools\Monitoring\checkvob.bat,de002-clearadmin_vob,NO
pdewccv4,F:\Tools\Monitoring\checkvob.bat,de002-sclearadmin,NO
pdewccv4,F:\Tools\Monitoring\dbcheck.bat,de002-clearadmin_vob,NO
pdewccv4,F:\Tools\Monitoring\dbcheck.bat,de002-sclearadmin,NO
pdkwtri01,D:\Netdesign\Kundetilpasninger\cd1_tdl_backup\Back_CD1_TDL.bat,DK-SA-Trio-ADM,NO
pdkwtri01,D:\TE\ProgramData\CC1\cfg\OLAPFrequently.bat,Uveerajrs,NO
pdkwtri01,D:\TE\ProgramData\CC1\cfg\OLAPNightly.bat,Uveerajrs,NO
