veerajrvername,Name,argu
dfrwodm1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj-electric.com\sysvol\veeraj.veeraj-electric.com\Policies\{B479EAE4-9C27-4973-A7CD-7CA49FC5E75A}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
dfrwodm2,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj-electric.com\sysvol\veeraj.veeraj-electric.com\Policies\{B479EAE4-9C27-4973-A7CD-7CA49FC5E75A}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
dfrworf1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj-electric.com\sysvol\veeraj.veeraj-electric.com\Policies\{B479EAE4-9C27-4973-A7CD-7CA49FC5E75A}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pfrwbld1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pfrwbld4,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pfrwqual1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pfrwsbc4,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
plvwisc3,AIC fetch,"-noprofile -executionpolicy Bypass -file ""C:\Program Files\ansible\GTS\CIT\pack_compress_fetch.ps1"""
plvwisc3,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pveerajwveerajc1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
qfrwccv6,Disabled Netbios,"-ExecutionPolicy Bypass -File \\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
sunipd034,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wacz00118,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
waro00103,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
waru07715,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40001jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40002jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40023jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40028jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40031jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
veeraj40102jmpveeraj,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
wsat00281,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pfrwnie1,Disabled Netbios,"-ExecutionPolicy Bypass -File \\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
